Filename     : evrp-benchmark-set/E-n22-k4.evrp
Solution time: 17.76
   25- {'Avg': 874.566464242109, 'Best Individual': (521.3395158515242, [[4, 2, 3, 6, 8, 10], [5, 12, 20, 22], [7, 14, 17], [21, 19], [9, 11, 13, 16, 15, 18]], [[1, 9, 7, 8, 6, 3, 30, 2, 4, 1], [1, 5, 12, 25, 24, 14, 11, 10, 1], [1, 22, 21, 19, 27, 28, 16, 13, 1], [1, 15, 17, 18, 20, 1]])}
   26- {'Avg': 895.8837752029268, 'Best Individual': (521.3395158515242, [[4, 2, 3, 6, 8, 10], [5, 12, 20, 22], [7, 14, 17], [21, 19], [9, 11, 13, 16, 15, 18]], [[1, 9, 7, 8, 6, 3, 30, 2, 4, 1], [1, 5, 12, 25, 24, 14, 11, 10, 1], [1, 22, 21, 19, 27, 28, 16, 13, 1], [1, 15, 17, 18, 20, 1]])}
   27- {'Avg': 867.549014957236, 'Best Individual': (521.3395158515242, [[4, 2, 3, 6, 8, 10], [5, 12, 20, 22], [7, 14, 17], [21, 19], [9, 11, 13, 16, 15, 18]], [[1, 9, 7, 8, 6, 3, 30, 2, 4, 1], [1, 5, 12, 25, 24, 14, 11, 10, 1], [1, 22, 21, 19, 27, 28, 16, 13, 1], [1, 15, 17, 18, 20, 1]])}
   28- {'Avg': 878.1157696213471, 'Best Individual': (521.3395158515242, [[4, 2, 3, 6, 8, 10], [5, 12, 20, 22], [7, 14, 17], [21, 19], [9, 11, 13, 16, 15, 18]], [[1, 9, 7, 8, 6, 3, 30, 2, 4, 1], [1, 5, 12, 25, 24, 14, 11, 10, 1], [1, 22, 21, 19, 27, 28, 16, 13, 1], [1, 15, 17, 18, 20, 1]])}
   29- {'Avg': 855.0666207801796, 'Best Individual': (521.3395158515242, [[4, 2, 3, 6, 8, 10], [5, 12, 20, 22], [7, 14, 17], [21, 19], [9, 11, 13, 16, 15, 18]], [[1, 9, 7, 8, 6, 3, 30, 2, 4, 1], [1, 5, 12, 25, 24, 14, 11, 10, 1], [1, 22, 21, 19, 27, 28, 16, 13, 1], [1, 15, 17, 18, 20, 1]])}
   30- {'Avg': 865.4938901201868, 'Best Individual': (511.35230616233673, [[7, 2, 3, 6, 8, 10], [21, 16, 13], [18, 11, 9, 4], [5, 17, 15, 19], [12, 14, 20, 22]], [[1, 18, 16, 13, 1], [1, 15, 17, 14, 1], [1, 20, 22, 21, 27, 19, 1], [1, 4, 2, 30, 3, 6, 8, 10, 1], [1, 11, 9, 7, 5, 26, 24, 25, 12, 1]])}
   31- {'Avg': 873.5618460150318, 'Best Individual': (511.35230616233673, [[7, 2, 3, 6, 8, 10], [21, 16, 13], [18, 11, 9, 4], [5, 17, 15, 19], [12, 14, 20, 22]], [[1, 18, 16, 13, 1], [1, 15, 17, 14, 1], [1, 20, 22, 21, 27, 19, 1], [1, 4, 2, 30, 3, 6, 8, 10, 1], [1, 11, 9, 7, 5, 26, 24, 25, 12, 1]])}
   32- {'Avg': 846.5635923391453, 'Best Individual': (511.35230616233673, [[7, 2, 3, 6, 8, 10], [21, 16, 13], [18, 11, 9, 4], [5, 17, 15, 19], [12, 14, 20, 22]], [[1, 18, 16, 13, 1], [1, 15, 17, 14, 1], [1, 20, 22, 21, 27, 19, 1], [1, 4, 2, 30, 3, 6, 8, 10, 1], [1, 11, 9, 7, 5, 26, 24, 25, 12, 1]])}
   33- {'Avg': 844.0799541942123, 'Best Individual': (511.35230616233673, [[7, 2, 3, 6, 8, 10], [21, 16, 13], [18, 11, 9, 4], [5, 17, 15, 19], [12, 14, 20, 22]], [[1, 18, 16, 13, 1], [1, 15, 17, 14, 1], [1, 20, 22, 21, 27, 19, 1], [1, 4, 2, 30, 3, 6, 8, 10, 1], [1, 11, 9, 7, 5, 26, 24, 25, 12, 1]])}
   34- {'Avg': 833.2402929471248, 'Best Individual': (462.3217911352931, [[18, 16, 13], [15, 17, 14], [20, 22, 21, 19], [12, 9, 5, 4, 2, 3], [7, 6, 8, 10, 11]], [[1, 18, 16, 13, 1], [1, 15, 17, 14, 1], [1, 20, 22, 21, 27, 19, 1], [1, 12, 9, 5, 4, 26, 30, 2, 3, 1], [1, 7, 6, 8, 10, 29, 11, 1]])}
   35- {'Avg': 822.1934776769856, 'Best Individual': (462.3217911352931, [[18, 16, 13], [15, 17, 14], [20, 22, 21, 19], [12, 9, 5, 4, 2, 3], [7, 6, 8, 10, 11]], [[1, 18, 16, 13, 1], [1, 15, 17, 14, 1], [1, 20, 22, 21, 27, 19, 1], [1, 12, 9, 5, 4, 26, 30, 2, 3, 1], [1, 7, 6, 8, 10, 29, 11, 1]])}
   36- {'Avg': 820.0769448275933, 'Best Individual': (462.3217911352931, [[18, 16, 13], [15, 17, 14], [20, 22, 21, 19], [12, 9, 5, 4, 2, 3], [7, 6, 8, 10, 11]], [[1, 18, 16, 13, 1], [1, 15, 17, 14, 1], [1, 20, 22, 21, 27, 19, 1], [1, 12, 9, 5, 4, 26, 30, 2, 3, 1], [1, 7, 6, 8, 10, 29, 11, 1]])}
   37- {'Avg': 812.8994771143339, 'Best Individual': (454.2577189607117, [[12, 5, 4, 7, 2], [3, 6, 10, 13, 9], [14, 17, 16], [22, 20, 15], [8, 11, 18, 21, 19]], [[1, 18, 16, 13, 1], [1, 15, 17, 14, 1], [1, 20, 22, 21, 27, 19, 1], [1, 10, 8, 6, 7, 9, 25, 12, 1], [1, 5, 4, 2, 30, 3, 11, 1]])}
   38- {'Avg': 787.989432458067, 'Best Individual': (454.2577189607117, [[12, 5, 4, 7, 2], [3, 6, 10, 13, 9], [14, 17, 16], [22, 20, 15], [8, 11, 18, 21, 19]], [[1, 18, 16, 13, 1], [1, 15, 17, 14, 1], [1, 20, 22, 21, 27, 19, 1], [1, 10, 8, 6, 7, 9, 25, 12, 1], [1, 5, 4, 2, 30, 3, 11, 1]])}
   39- {'Avg': 770.7801299460172, 'Best Individual': (453.58612044201186, [[14, 15, 13], [16, 18, 17], [20, 22, 21, 19], [12, 5, 4, 7, 9, 11], [10, 8, 6, 3, 2]], [[1, 18, 16, 13, 1], [1, 15, 17, 14, 1], [1, 20, 22, 21, 27, 19, 1], [1, 4, 5, 12, 25, 9, 7, 11, 1], [1, 2, 3, 30, 6, 8, 10, 1]])}
   40- {'Avg': 772.9488842760011, 'Best Individual': (453.58612044201186, [[14, 15, 13], [16, 18, 17], [20, 22, 21, 19], [12, 5, 4, 7, 9, 11], [10, 8, 6, 3, 2]], [[1, 18, 16, 13, 1], [1, 15, 17, 14, 1], [1, 20, 22, 21, 27, 19, 1], [1, 4, 5, 12, 25, 9, 7, 11, 1], [1, 2, 3, 30, 6, 8, 10, 1]])}
   41- {'Avg': 795.2529406696245, 'Best Individual': (453.58612044201186, [[14, 15, 13], [16, 18, 17], [20, 22, 21, 19], [12, 5, 4, 7, 9, 11], [10, 8, 6, 3, 2]], [[1, 18, 16, 13, 1], [1, 15, 17, 14, 1], [1, 20, 22, 21, 27, 19, 1], [1, 4, 5, 12, 25, 9, 7, 11, 1], [1, 2, 3, 30, 6, 8, 10, 1]])}
   42- {'Avg': 795.936224233213, 'Best Individual': (453.58612044201186, [[14, 15, 13], [16, 18, 17], [20, 22, 21, 19], [12, 5, 4, 7, 9, 11], [10, 8, 6, 3, 2]], [[1, 18, 16, 13, 1], [1, 15, 17, 14, 1], [1, 20, 22, 21, 27, 19, 1], [1, 4, 5, 12, 25, 9, 7, 11, 1], [1, 2, 3, 30, 6, 8, 10, 1]])}
